VTX	 IDX	 gl_Position.x	 gl_Position.y	 gl_Position.z	 gl_Position.w
0	0	-14.19385	-64.77144	97.47248	97.94456
1	1	-28.58814	-71.08546	109.41288	109.88155
2	2	-44.48349	-71.13809	109.5124	109.98105
3	3	-10.88144	-65.29974	98.47155	98.94335
4	1	-28.58814	-71.08546	109.41288	109.88155
5	0	-14.19385	-64.77144	97.47248	97.94456
6	4	-28.58814	-71.08546	109.41288	109.88155
7	3	-10.88144	-65.29974	98.47155	98.94335
8	5	-17.28527	-71.08206	109.40647	109.87514
9	5	-17.28527	-71.08206	109.40647	109.87514
10	3	-10.88144	-65.29974	98.47155	98.94335
11	6	-7.67398	-65.59982	99.03904	99.51068
12	6	-7.67398	-65.59982	99.03904	99.51068
13	7	-5.86884	-71.01375	109.27729	109.746
14	5	-17.28527	-71.08206	109.40647	109.87514
15	8	-8.45253	-64.53578	97.02685	97.49905
16	6	-7.67398	-65.59982	99.03904	99.51068
17	3	-10.88144	-65.29974	98.47155	98.94335
18	8	-8.45253	-64.53578	97.02685	97.49905
19	3	-10.88144	-65.29974	98.47155	98.94335
20	9	-11.06095	-64.17692	96.34821	96.8206
21	10	-6.20005	-64.63475	97.214	97.68616
22	6	-7.67398	-65.59982	99.03904	99.51068
23	8	-8.45253	-64.53578	97.02685	97.49905
24	9	-11.06095	-64.17692	96.34821	96.8206
25	3	-10.88144	-65.29974	98.47155	98.94335
26	11	-14.19385	-64.77144	97.47248	97.94456
27	10	-6.20005	-64.63475	97.214	97.68616
28	12	-4.6668	-65.665	99.1623	99.6339
29	6	-7.67398	-65.59982	99.03904	99.51068
30	12	-4.6668	-65.665	99.1623	99.6339
31	7	-5.86884	-71.01375	109.27729	109.746
32	6	-7.67398	-65.59982	99.03904	99.51068
33	7	-5.86884	-71.01375	109.27729	109.746
34	12	-4.6668	-65.665	99.1623	99.6339
35	13	-1.16614	-71.07764	109.39761	109.86629
36	14	-4.14202	-64.62372	97.19315	97.66531
37	12	-4.6668	-65.665	99.1623	99.6339
38	10	-6.20005	-64.63475	97.214	97.68616
39	13	-1.16614	-71.07764	109.39761	109.86629
40	12	-4.6668	-65.665	99.1623	99.6339
41	15	-2.0443	-65.60372	99.04603	99.51766
42	14	-4.14202	-64.62372	97.19315	97.66531
43	15	-2.0443	-65.60372	99.04603	99.51766
44	12	-4.6668	-65.665	99.1623	99.6339
45	16	-2.2477	-64.58052	97.1112	97.58339
46	15	-2.0443	-65.60372	99.04603	99.51766
47	14	-4.14202	-64.62372	97.19315	97.66531
48	17	-1.16614	-71.07764	109.39761	109.86629
49	18	-2.0443	-65.60372	99.04603	99.51766
50	19	6.03507	-70.97862	109.21039	109.67912
51	20	-2.2477	-64.58052	97.1112	97.58339
52	21	5.32107	-64.52468	97.00536	97.47758
53	18	-2.0443	-65.60372	99.04603	99.51766
54	19	6.03507	-70.97862	109.21039	109.67912
55	18	-2.0443	-65.60372	99.04603	99.51766
56	22	5.80054	-65.57037	98.98286	99.45451
57	18	-2.0443	-65.60372	99.04603	99.51766
58	21	5.32107	-64.52468	97.00536	97.47758
59	22	5.80054	-65.57037	98.98286	99.45451
60	22	5.80054	-65.57037	98.98286	99.45451
61	23	13.71271	-70.76684	108.80988	109.27872
62	19	6.03507	-70.97862	109.21039	109.67912
63	21	5.32107	-64.52468	97.00536	97.47758
64	24	10.61922	-64.45439	96.87244	97.3447
65	22	5.80054	-65.57037	98.98286	99.45451
66	22	5.80054	-65.57037	98.98286	99.45451
67	24	10.61922	-64.45439	96.87244	97.3447
68	25	11.4647	-65.5047	98.85868	99.33037
69	25	11.4647	-65.5047	98.85868	99.33037
70	23	13.71271	-70.76684	108.80988	109.27872
71	22	5.80054	-65.57037	98.98286	99.45451
72	24	10.61922	-64.45439	96.87244	97.3447
73	26	15.01636	-64.35095	96.67683	97.14914
74	25	11.4647	-65.5047	98.85868	99.33037
75	27	17.59319	-65.0643	98.02585	98.49778
76	23	13.71271	-70.76684	108.80988	109.27872
77	25	11.4647	-65.5047	98.85868	99.33037
78	25	11.4647	-65.5047	98.85868	99.33037
79	26	15.01636	-64.35095	96.67683	97.14914
80	27	17.59319	-65.0643	98.02585	98.49778
81	28	29.91786	-70.44427	108.1999	108.66891
82	23	13.71271	-70.76684	108.80988	109.27872
83	27	17.59319	-65.0643	98.02585	98.49778
84	26	15.01636	-64.35095	96.67683	97.14914
85	29	18.27348	-63.85817	95.74493	96.21751
86	27	17.59319	-65.0643	98.02585	98.49778
87	30	21.26833	-64.37373	96.71992	97.19223
88	28	29.91786	-70.44427	108.1999	108.66891
89	27	17.59319	-65.0643	98.02585	98.49778
90	27	17.59319	-65.0643	98.02585	98.49778
91	29	18.27348	-63.85817	95.74493	96.21751
92	30	21.26833	-64.37373	96.71992	97.19223
93	31	45.94289	-70.144	107.63206	108.10123
94	28	29.91786	-70.44427	108.1999	108.66891
95	30	21.26833	-64.37373	96.71992	97.19223
96	29	18.27348	-63.85817	95.74493	96.21751
97	32	20.28632	-63.32047	94.72809	95.20096
98	30	21.26833	-64.37373	96.71992	97.19223
99	33	45.94289	-70.144	107.63206	108.10123
100	30	21.26833	-64.37373	96.71992	97.19223
101	34	44.65682	-65.50024	98.85027	99.32195
102	30	21.26833	-64.37373	96.71992	97.19223
103	32	20.28632	-63.32047	94.72809	95.20096
104	35	24.13324	-63.55769	95.17671	95.64946
105	34	44.65682	-65.50024	98.85027	99.32195
106	30	21.26833	-64.37373	96.71992	97.19223
107	35	24.13324	-63.55769	95.17671	95.64946
108	32	20.28632	-63.32047	94.72809	95.20096
109	36	21.43296	-62.52195	93.21802	93.69131
110	35	24.13324	-63.55769	95.17671	95.64946
111	34	44.65682	-65.50024	98.85027	99.32195
112	35	24.13324	-63.55769	95.17671	95.64946
113	37	43.98538	-62.97936	94.08304	94.55611
114	38	21.00411	-61.50514	91.29514	91.769
115	39	24.93422	-61.51338	91.31071	91.78456
116	36	21.43296	-62.52195	93.21802	93.69131
117	37	43.98538	-62.97936	94.08304	94.55611
118	35	24.13324	-63.55769	95.17671	95.64946
119	40	25.09556	-62.54318	93.25818	93.73148
120	35	24.13324	-63.55769	95.17671	95.64946
121	36	21.43296	-62.52195	93.21802	93.69131
122	40	25.09556	-62.54318	93.25818	93.73148
123	36	21.43296	-62.52195	93.21802	93.69131
124	39	24.93422	-61.51338	91.31071	91.78456
125	40	25.09556	-62.54318	93.25818	93.73148
126	40	25.09556	-62.54318	93.25818	93.73148
127	41	43.58012	-61.52502	91.33276	91.80661
128	37	43.98538	-62.97936	94.08304	94.55611
129	39	24.93422	-61.51338	91.31071	91.78456
130	41	43.58012	-61.52502	91.33276	91.80661
131	40	25.09556	-62.54318	93.25818	93.73148
132	42	107.22574	-65.5602	98.9637	99.43536
133	43	107.50409	-66.57987	100.892	101.36311
134	44	96.81062	-65.73585	99.29585	99.76742
135	44	96.81062	-65.73585	99.29585	99.76742
136	43	107.50409	-66.57987	100.892	101.36311
137	45	96.71007	-66.7779	101.26648	101.73748
138	44	96.81062	-65.73585	99.29585	99.76742
139	45	96.71007	-66.7779	101.26648	101.73748
140	46	89.97644	-65.76424	99.34953	99.82108
141	46	89.97644	-65.76424	99.34953	99.82108
142	45	96.71007	-66.7779	101.26648	101.73748
143	47	89.14588	-66.82613	101.35769	101.82867
144	46	89.97644	-65.76424	99.34953	99.82108
145	47	89.14588	-66.82613	101.35769	101.82867
146	48	84.68678	-65.54448	98.93395	99.40562
147	45	96.71007	-66.7779	101.26648	101.73748
148	49	97.97134	-69.73737	106.86311	107.33251
149	47	89.14588	-66.82613	101.35769	101.82867
150	45	96.71007	-66.7779	101.26648	101.73748
151	50	107.50409	-66.57987	100.892	101.36311
152	49	97.97134	-69.73737	106.86311	107.33251
153	49	97.97134	-69.73737	106.86311	107.33251
154	50	107.50409	-66.57987	100.892	101.36311
155	51	108.33134	-69.63698	106.67328	107.14274
156	47	89.14588	-66.82613	101.35769	101.82867
157	49	97.97134	-69.73737	106.86311	107.33251
158	52	88.53229	-69.79922	106.98009	107.44946
159	48	84.68678	-65.54448	98.93395	99.40562
160	47	89.14588	-66.82613	101.35769	101.82867
161	53	82.44186	-66.5135	100.76646	101.2376
162	47	89.14588	-66.82613	101.35769	101.82867
163	54	88.53229	-69.79922	106.98009	107.44946
164	53	82.44186	-66.5135	100.76646	101.2376
165	48	84.68678	-65.54448	98.93395	99.40562
166	53	82.44186	-66.5135	100.76646	101.2376
167	55	80.90221	-65.0624	98.0223	98.49422
168	53	82.44186	-66.5135	100.76646	101.2376
169	54	88.53229	-69.79922	106.98009	107.44946
170	56	75.64775	-69.87741	107.12793	107.59725
171	56	75.64775	-69.87741	107.12793	107.59725
172	57	77.47035	-65.90175	99.60957	100.08105
173	53	82.44186	-66.5135	100.76646	101.2376
174	55	80.90221	-65.0624	98.0223	98.49422
175	53	82.44186	-66.5135	100.76646	101.2376
176	57	77.47035	-65.90175	99.60957	100.08105
177	58	45.94289	-70.144	107.63206	108.10123
178	57	77.47035	-65.90175	99.60957	100.08105
179	56	75.64775	-69.87741	107.12793	107.59725
180	58	45.94289	-70.144	107.63206	108.10123
181	59	44.65682	-65.50024	98.85027	99.32195
182	57	77.47035	-65.90175	99.60957	100.08105
183	57	77.47035	-65.90175	99.60957	100.08105
184	60	73.88766	-64.90604	97.72659	98.1986
185	55	80.90221	-65.0624	98.0223	98.49422
186	57	77.47035	-65.90175	99.60957	100.08105
187	59	44.65682	-65.50024	98.85027	99.32195
188	60	73.88766	-64.90604	97.72659	98.1986
189	55	80.90221	-65.0624	98.0223	98.49422
190	60	73.88766	-64.90604	97.72659	98.1986
191	61	78.3386	-64.27183	96.52724	96.9996
192	60	73.88766	-64.90604	97.72659	98.1986
193	59	44.65682	-65.50024	98.85027	99.32195
194	62	71.89024	-63.33518	94.75597	95.22882
195	60	73.88766	-64.90604	97.72659	98.1986
196	62	71.89024	-63.33518	94.75597	95.22882
197	61	78.3386	-64.27183	96.52724	96.9996
198	62	71.89024	-63.33518	94.75597	95.22882
199	59	44.65682	-65.50024	98.85027	99.32195
200	63	43.98538	-62.97936	94.08304	94.55611
201	61	78.3386	-64.27183	96.52724	96.9996
202	62	71.89024	-63.33518	94.75597	95.22882
203	64	76.6778	-62.96622	94.05823	94.5313
204	63	43.98538	-62.97936	94.08304	94.55611
205	65	70.70085	-61.55361	91.38684	91.86067
206	62	71.89024	-63.33518	94.75597	95.22882
207	62	71.89024	-63.33518	94.75597	95.22882
208	65	70.70085	-61.55361	91.38684	91.86067
209	64	76.6778	-62.96622	94.05823	94.5313
210	66	43.58012	-61.52502	91.33276	91.80661
211	65	70.70085	-61.55361	91.38684	91.86067
212	63	43.98538	-62.97936	94.08304	94.55611
213	64	76.6778	-62.96622	94.05823	94.5313
214	65	70.70085	-61.55361	91.38684	91.86067
215	67	76.25934	-61.44049	91.17291	91.6468
216	68	107.22574	-65.5602	98.9637	99.43536
217	69	117.90306	-65.50269	98.85493	99.32663
218	70	107.50409	-66.57987	100.892	101.36311
219	70	107.50409	-66.57987	100.892	101.36311
220	71	118.92241	-69.50577	106.42515	106.89467
221	72	108.33134	-69.63698	106.67328	107.14274
222	70	107.50409	-66.57987	100.892	101.36311
223	69	117.90306	-65.50269	98.85493	99.32663
224	73	118.57808	-66.53616	100.80935	101.28048
225	73	118.57808	-66.53616	100.80935	101.28048
226	71	118.92241	-69.50577	106.42515	106.89467
227	70	107.50409	-66.57987	100.892	101.36311
228	73	118.57808	-66.53616	100.80935	101.28048
229	74	126.32182	-69.38148	106.19012	106.65972
230	71	118.92241	-69.50577	106.42515	106.89467
231	69	117.90306	-65.50269	98.85493	99.32663
232	75	125.52621	-65.37125	98.6064	99.07816
233	73	118.57808	-66.53616	100.80935	101.28048
234	76	126.29884	-66.41544	100.58104	101.05224
235	74	126.32182	-69.38148	106.19012	106.65972
236	73	118.57808	-66.53616	100.80935	101.28048
237	73	118.57808	-66.53616	100.80935	101.28048
238	75	125.52621	-65.37125	98.6064	99.07816
239	76	126.29884	-66.41544	100.58104	101.05224
240	75	125.52621	-65.37125	98.6064	99.07816
241	77	132.1618	-65.34264	98.5523	99.02408
242	76	126.29884	-66.41544	100.58104	101.05224
243	76	126.29884	-66.41544	100.58104	101.05224
244	77	132.1618	-65.34264	98.5523	99.02408
245	78	133.02438	-66.24187	100.25283	100.72412
246	78	133.02438	-66.24187	100.25283	100.72412
247	79	133.76518	-69.23495	105.91303	106.38271
248	76	126.29884	-66.41544	100.58104	101.05224
249	76	126.29884	-66.41544	100.58104	101.05224
250	79	133.76518	-69.23495	105.91303	106.38271
251	80	126.32182	-69.38148	106.19012	106.65972
252	81	-17.96334	-63.0136	94.14825	94.62129
253	82	-18.36074	-61.98647	92.20583	92.67943
254	83	-14.39235	-62.91241	93.95688	94.42996
255	83	-14.39235	-62.91241	93.95688	94.42996
256	82	-18.36074	-61.98647	92.20583	92.67943
257	84	-14.52115	-61.89228	92.02773	92.50137
258	82	-18.36074	-61.98647	92.20583	92.67943
259	81	-17.96334	-63.0136	94.14825	94.62129
260	85	-37.00547	-62.17653	92.56526	93.03874
261	85	-37.00547	-62.17653	92.56526	93.03874
262	81	-17.96334	-63.0136	94.14825	94.62129
263	86	-38.59972	-63.99576	96.00558	96.47809
264	83	-14.39235	-62.91241	93.95688	94.42996
265	87	-16.47505	-64.00102	96.01556	96.48807
266	81	-17.96334	-63.0136	94.14825	94.62129
267	81	-17.96334	-63.0136	94.14825	94.62129
268	87	-16.47505	-64.00102	96.01556	96.48807
269	86	-38.59972	-63.99576	96.00558	96.47809
270	88	-12.84027	-63.68109	95.41054	95.88321
271	87	-16.47505	-64.00102	96.01556	96.48807
272	83	-14.39235	-62.91241	93.95688	94.42996
273	9	-11.06095	-64.17692	96.34821	96.8206
274	87	-16.47505	-64.00102	96.01556	96.48807
275	88	-12.84027	-63.68109	95.41054	95.88321
276	86	-38.59972	-63.99576	96.00558	96.47809
277	87	-16.47505	-64.00102	96.01556	96.48807
278	89	-40.54019	-66.43647	100.6212	101.09239
279	11	-14.19385	-64.77144	97.47248	97.94456
280	87	-16.47505	-64.00102	96.01556	96.48807
281	9	-11.06095	-64.17692	96.34821	96.8206
282	11	-14.19385	-64.77144	97.47248	97.94456
283	89	-40.54019	-66.43647	100.6212	101.09239
284	87	-16.47505	-64.00102	96.01556	96.48807
285	90	-44.48349	-71.13809	109.5124	109.98105
286	89	-40.54019	-66.43647	100.6212	101.09239
287	11	-14.19385	-64.77144	97.47248	97.94456
288	91	-83.15013	-66.93972	101.57287	102.04379
289	92	-82.2153	-67.80219	103.20389	103.67433
290	93	-92.49068	-67.06842	101.81625	102.28709
291	93	-92.49068	-67.06842	101.81625	102.28709
292	92	-82.2153	-67.80219	103.20389	103.67433
293	94	-93.16594	-68.02409	103.6235	104.09383
294	91	-83.15013	-66.93972	101.57287	102.04379
295	95	-76.00412	-66.72561	101.16797	101.639
296	92	-82.2153	-67.80219	103.20389	103.67433
297	94	-93.16594	-68.02409	103.6235	104.09383
298	96	-90.02356	-71.73898	110.64871	111.11703
299	97	-97.4978	-71.85641	110.87077	111.33903
300	92	-82.2153	-67.80219	103.20389	103.67433
301	96	-90.02356	-71.73898	110.64871	111.11703
302	94	-93.16594	-68.02409	103.6235	104.09383
303	92	-82.2153	-67.80219	103.20389	103.67433
304	98	-81.8877	-71.60194	110.38956	110.85795
305	96	-90.02356	-71.73898	110.64871	111.11703
306	99	-74.84067	-67.68529	102.98281	103.45332
307	98	-81.8877	-71.60194	110.38956	110.85795
308	92	-82.2153	-67.80219	103.20389	103.67433
309	92	-82.2153	-67.80219	103.20389	103.67433
310	95	-76.00412	-66.72561	101.16797	101.639
311	99	-74.84067	-67.68529	102.98281	103.45332
312	99	-74.84067	-67.68529	102.98281	103.45332
313	100	-76.2612	-71.55109	110.29341	110.76183
314	101	-81.8877	-71.60194	110.38956	110.85795
315	95	-76.00412	-66.72561	101.16797	101.639
316	102	-67.29195	-67.16679	102.00227	102.47306
317	99	-74.84067	-67.68529	102.98281	103.45332
318	102	-67.29195	-67.16679	102.00227	102.47306
319	100	-76.2612	-71.55109	110.29341	110.76183
320	99	-74.84067	-67.68529	102.98281	103.45332
321	103	-70.04126	-66.13878	100.05822	100.52956
322	102	-67.29195	-67.16679	102.00227	102.47306
323	95	-76.00412	-66.72561	101.16797	101.639
324	104	-44.48349	-71.13809	109.5124	109.98105
325	100	-76.2612	-71.55109	110.29341	110.76183
326	102	-67.29195	-67.16679	102.00227	102.47306
327	103	-70.04126	-66.13878	100.05822	100.52956
328	105	-62.79007	-66.33617	100.4315	100.90274
329	102	-67.29195	-67.16679	102.00227	102.47306
330	105	-62.79007	-66.33617	100.4315	100.90274
331	104	-44.48349	-71.13809	109.5124	109.98105
332	102	-67.29195	-67.16679	102.00227	102.47306
333	106	-66.5995	-65.57687	98.9956	99.46725
334	105	-62.79007	-66.33617	100.4315	100.90274
335	103	-70.04126	-66.13878	100.05822	100.52956
336	104	-44.48349	-71.13809	109.5124	109.98105
337	105	-62.79007	-66.33617	100.4315	100.90274
338	107	-40.54019	-66.43647	100.6212	101.09239
339	106	-66.5995	-65.57687	98.9956	99.46725
340	108	-59.82277	-65.26805	98.41159	98.88342
341	105	-62.79007	-66.33617	100.4315	100.90274
342	107	-40.54019	-66.43647	100.6212	101.09239
343	105	-62.79007	-66.33617	100.4315	100.90274
344	108	-59.82277	-65.26805	98.41159	98.88342
345	109	-64.5139	-64.75083	97.43348	97.90558
346	108	-59.82277	-65.26805	98.41159	98.88342
347	106	-66.5995	-65.57687	98.9956	99.46725
348	108	-59.82277	-65.26805	98.41159	98.88342
349	110	-38.59972	-63.99576	96.00558	96.47809
350	107	-40.54019	-66.43647	100.6212	101.09239
351	109	-64.5139	-64.75083	97.43348	97.90558
352	111	-58.66458	-63.85133	95.73244	96.20502
353	108	-59.82277	-65.26805	98.41159	98.88342
354	111	-58.66458	-63.85133	95.73244	96.20502
355	110	-38.59972	-63.99576	96.00558	96.47809
356	108	-59.82277	-65.26805	98.41159	98.88342
357	112	-63.53128	-63.64461	95.34151	95.81421
358	111	-58.66458	-63.85133	95.73244	96.20502
359	109	-64.5139	-64.75083	97.43348	97.90558
360	113	-58.38928	-62.32043	92.83737	93.31079
361	110	-38.59972	-63.99576	96.00558	96.47809
362	111	-58.66458	-63.85133	95.73244	96.20502
363	112	-63.53128	-63.64461	95.34151	95.81421
364	113	-58.38928	-62.32043	92.83737	93.31079
365	111	-58.66458	-63.85133	95.73244	96.20502
366	114	-37.00547	-62.17653	92.56526	93.03874
367	110	-38.59972	-63.99576	96.00558	96.47809
368	113	-58.38928	-62.32043	92.83737	93.31079
369	115	-63.88729	-62.32953	92.85457	93.32797
370	113	-58.38928	-62.32043	92.83737	93.31079
371	112	-63.53128	-63.64461	95.34151	95.81421
372	116	1.42472	91.03693	-197.46887	-196.91251
373	117	-22.02288	91.77065	-198.85645	-198.29968
374	118	0.29385	134.76836	-280.16913	-279.58911
375	118	0.29385	134.76836	-280.16913	-279.58911
376	117	-22.02288	91.77065	-198.85645	-198.29968
377	119	-25.22058	135.4995	-281.55182	-280.97144
378	120	-26.43652	4.18663	-33.22681	-32.71735
379	121	-52.58947	4.84293	-34.46796	-33.95816
380	122	-19.45691	48.02763	-116.13428	-115.60114
381	122	-19.45691	48.02763	-116.13428	-115.60114
382	121	-52.58947	4.84293	-34.46796	-33.95816
383	123	-43.64416	48.73317	-117.46854	-116.935
384	124	19.79742	90.76347	-196.95175	-196.39554
385	125	38.48358	90.45369	-196.36591	-195.80984
386	126	17.65786	47.00934	-114.20856	-113.67596
387	126	17.65786	47.00934	-114.20856	-113.67596
388	125	38.48358	90.45369	-196.36591	-195.80984
389	127	30.27596	46.64688	-113.5231	-112.99072
390	128	-27.85571	166.53178	-340.23685	-339.63968
391	129	-55.14529	167.20958	-341.51865	-340.92111
392	130	-37.33877	224.71651	-450.26962	-449.64102
393	130	-37.33877	224.71651	-450.26962	-449.64102
394	129	-55.14529	167.20958	-341.51865	-340.92111
395	131	-65.08852	225.02031	-450.84421	-450.21542
396	132	14.88641	224.12041	-449.1423	-448.51401
397	133	13.69771	267.99207	-532.10779	-531.45569
398	134	81.32412	224.38615	-449.64487	-449.01639
399	134	81.32412	224.38615	-449.64487	-449.01639
400	133	13.69771	267.99207	-532.10779	-531.45569
401	135	75.74522	268.19812	-532.49744	-531.84534
402	136	-8.9958	224.28893	-449.46103	-448.83267
403	137	13.69771	267.99207	-532.10779	-531.45569
404	132	14.88641	224.12041	-449.1423	-448.51401
